symbol,sector,name
ABB,CAPGOODS,ABB
ADANIENT,DIVERSIFIED,ADANIENT
ADANIPORTS,DIVERSIFIED,ADANIPORTS
AIAENG,DIVERSIFIED,AIAENG
AMBER,DIVERSIFIED,AMBER
APLAPOLLO,METALS,APLAPOLLO
APOLLOHOSP,DIVERSIFIED,APOLLOHOSP
ASIANPAINT,DIVERSIFIED,ASIANPAINT
ASTRAL,PIPES,ASTRAL
AUROPHARMA,DIVERSIFIED,AUROPHARMA
AXISBANK,BANKING,AXISBANK
BAJAJ-AUTO,AUTO,BAJAJ-AUTO
BAJFINANCE,FINTECH,BAJFINANCE
BDL,DEFENCE,BDL
BEL,DEFENCE,BEL
BERGEPAINT,DIVERSIFIED,BERGEPAINT
BHARTIARTL,TELECOM,BHARTIARTL
BOSCHLTD,DIVERSIFIED,BOSCHLTD
BRITANNIA,FMCG,BRITANNIA
BSE,EXCHANGE,BSE
CANBK,DIVERSIFIED,CANBK
CDSL,EXCHANGE,CDSL
CGPOWER,POWER,CGPOWER
CHOLAFIN,DIVERSIFIED,CHOLAFIN
CLEAN,CHEMICALS,CLEAN
COALINDIA,DIVERSIFIED,COALINDIA
COFORGE,IT,COFORGE
COLPAL,DIVERSIFIED,COLPAL
CUMMINSIND,CAPGOODS,CUMMINSIND
DABUR,DIVERSIFIED,DABUR
DEEPAKNTR,CHEMICALS,DEEPAKNTR
DIVISLAB,PHARMA,DIVISLAB
DIXON,ELECTRONICS,DIXON
DLF,DIVERSIFIED,DLF
DMART,RETAIL,DMART
EICHERMOT,AUTO,EICHERMOT
GODREJCP,DIVERSIFIED,GODREJCP
GRASIM,DIVERSIFIED,GRASIM
HAL,DEFENCE,HAL
HAVELLS,ELECTRONICS,HAVELLS
HCLTECH,IT,HCLTECH
HDFCBANK,BANKING,HDFCBANK
HEROMOTOCO,DIVERSIFIED,HEROMOTOCO
HINDALCO,METALS,HINDALCO
ICICIBANK,BANKING,ICICIBANK
INDIGO,DIVERSIFIED,INDIGO
INDUSINDBK,BANKING,INDUSINDBK
INFY,IT,INFY
IRCTC,PSU_INFRA,IRCTC
IREDA,DIVERSIFIED,IREDA
JSWSTEEL,METALS,JSWSTEEL
KAYNES,ELECTRONICS,KAYNES
KEI,CABLES,KEI
KOTAKBANK,BANKING,KOTAKBANK
KPITTECH,IT,KPITTECH
LALPATHLAB,DIVERSIFIED,LALPATHLAB
LODHA,DIVERSIFIED,LODHA
LT,CAPGOODS,LT
M&M,AUTO,M&M
MARUTI,AUTO,MARUTI
MAXHEALTH,DIVERSIFIED,MAXHEALTH
MAZDOCK,DIVERSIFIED,MAZDOCK
MOTILALOFS,DIVERSIFIED,MOTILALOFS
MUTHOOTFIN,DIVERSIFIED,MUTHOOTFIN
NAUKRI,DIVERSIFIED,NAUKRI
NTPC,POWER,NTPC
NYKAA,RETAIL,NYKAA
OIL,DIVERSIFIED,OIL
ONGC,OIL_GAS,ONGC
PAGEIND,DIVERSIFIED,PAGEIND
PAYTM,FINTECH,PAYTM
PERSISTENT,IT,PERSISTENT
PFC,DIVERSIFIED,PFC
PIDILITIND,DIVERSIFIED,PIDILITIND
PIIND,CHEMICALS,PIIND
POLYCAB,CABLES,POLYCAB
POWERGRID,POWER,POWERGRID
PRESTIGE,DIVERSIFIED,PRESTIGE
RECLTD,DIVERSIFIED,RECLTD
RELIANCE,OIL_GAS,RELIANCE
RVNL,PSU_INFRA,RVNL
SBIN,BANKING,SBIN
SIEMENS,CAPGOODS,SIEMENS
SKFINDIA,DIVERSIFIED,SKFINDIA
SOLARINDS,DEFENCE,SOLARINDS
SRF,CHEMICALS,SRF
SUNPHARMA,PHARMA,SUNPHARMA
SUZLON,POWER,SUZLON
SYRMA,DIVERSIFIED,SYRMA
TATASTEEL,METALS,TATASTEEL
TCS,IT,TCS
TECHM,IT,TECHM
THERMAX,DIVERSIFIED,THERMAX
TIINDIA,DIVERSIFIED,TIINDIA
TITAN,DIVERSIFIED,TITAN
TRENT,RETAIL,TRENT
TRIVENI,DIVERSIFIED,TRIVENI
ULTRACEMCO,CEMENT,ULTRACEMCO
WIPRO,IT,WIPRO
YESBANK,DIVERSIFIED,YESBANK
ZYDUSLIFE,DIVERSIFIED,ZYDUSLIFE
